Refractive Index,Na,Mg,Al,Si,K,Ca,Ba,Fe,Class
g,j,a,i,f,j,a,j,b,7.0
a,j,a,j,h,b,h,j,c,7.0
d,j,b,j,j,a,g,j,c,7.0
b,j,a,j,j,a,f,j,c,7.0
b,h,c,i,h,a,f,j,c,7.0
b,i,a,j,d,b,h,j,c,7.0
a,h,d,i,f,j,a,j,c,7.0
c,j,b,i,i,a,f,j,c,7.0
e,j,b,i,g,b,f,j,c,7.0
c,j,a,i,j,b,e,j,c,7.0
d,j,b,i,h,a,d,j,c,7.0
g,i,d,j,a,j,a,j,c,7.0
i,i,a,j,j,a,d,j,c,7.0
d,i,a,j,j,a,f,j,c,7.0
j,j,c,e,a,d,f,j,c,7.0
c,j,b,i,h,a,c,j,c,7.0
a,j,a,j,j,b,d,j,c,7.0
a,j,b,j,j,b,d,i,c,7.0
c,i,a,j,f,a,h,i,c,7.0
b,j,a,j,h,b,g,i,d,7.0
j,j,c,j,a,j,i,e,f,7.0
j,g,d,d,d,h,g,a,f,7.0
c,a,b,c,j,j,g,a,g,7.0
a,h,a,j,i,c,h,j,g,7.0
a,i,a,j,j,c,h,j,g,7.0
d,j,b,i,j,a,e,j,h,7.0
d,j,b,j,h,a,e,j,h,7.0
b,j,b,j,i,a,f,j,h,7.0
b,i,a,j,j,b,h,i,h,7.0
