Refractive Index,Na,Mg,Al,Si,K,Ca,Ba,Fe,Class
g,j,f,i,f,j,a,j,b,7.0
a,j,c,j,h,b,h,j,c,7.0
d,j,g,j,j,a,g,j,c,7.0
b,j,f,j,j,a,f,j,c,7.0
b,h,e,i,h,a,f,j,c,7.0
b,i,c,j,d,b,h,j,c,7.0
a,h,h,i,f,j,a,j,c,7.0
c,j,e,i,i,a,f,j,c,7.0
e,j,c,i,g,b,f,j,c,7.0
c,j,h,i,j,b,e,j,c,7.0
d,j,a,i,h,a,d,j,c,7.0
g,i,b,j,a,j,a,j,c,7.0
i,i,e,j,j,a,d,j,c,7.0
d,i,d,j,j,a,f,j,c,7.0
j,j,g,e,a,d,f,j,c,7.0
c,j,f,i,h,a,c,j,c,7.0
a,j,a,j,j,b,d,j,c,7.0
a,j,g,j,j,b,d,i,c,7.0
c,i,c,j,f,a,h,i,c,7.0
b,j,h,j,h,b,g,i,d,7.0
j,j,d,j,a,j,i,e,f,7.0
j,g,f,d,d,h,g,a,f,7.0
c,a,f,c,j,j,g,a,g,7.0
a,h,e,j,i,c,h,j,g,7.0
a,i,d,j,j,c,h,j,g,7.0
d,j,c,i,j,a,e,j,h,7.0
d,j,b,j,h,a,e,j,h,7.0
b,j,j,j,i,a,f,j,h,7.0
b,i,f,j,j,b,h,i,h,7.0
