Sepal Length (cm),Sepal Width (cm),Petal Length (cm),Petal Width (cm),Class
a,c,a,a,Iris-setosa
a,d,b,a,Iris-setosa
a,d,b,a,Iris-setosa
a,c,a,a,Iris-setosa
a,d,b,a,Iris-setosa
b,f,b,a,Iris-setosa
a,f,a,a,Iris-setosa
b,e,a,a,Iris-setosa
b,f,a,a,Iris-setosa
a,d,b,a,Iris-setosa
c,f,b,a,Iris-setosa
b,f,b,a,Iris-setosa
a,d,b,a,Iris-setosa
a,e,b,a,Iris-setosa
a,e,b,a,Iris-setosa
b,f,b,a,Iris-setosa
b,d,b,a,Iris-setosa
b,e,b,a,Iris-setosa
a,f,b,a,Iris-setosa
b,f,a,a,Iris-setosa
b,f,a,a,Iris-setosa
b,e,b,a,Iris-setosa
a,b,a,a,Iris-setosa
a,c,a,a,Iris-setosa
a,d,a,a,Iris-setosa
c,f,a,b,Iris-setosa
a,d,a,b,Iris-setosa
b,e,a,b,Iris-setosa
a,e,a,b,Iris-setosa
c,f,a,b,Iris-setosa
c,f,a,b,Iris-setosa
a,d,a,b,Iris-setosa
a,c,a,b,Iris-setosa
b,e,a,b,Iris-setosa
b,f,b,b,Iris-setosa
a,d,a,b,Iris-setosa
a,a,a,b,Iris-setosa
a,f,a,b,Iris-setosa
a,e,a,b,Iris-setosa
c,f,b,b,Iris-setosa
b,f,a,b,Iris-setosa
b,f,b,b,Iris-setosa
b,f,b,b,Iris-setosa
b,e,b,b,Iris-setosa
c,f,b,b,Iris-setosa
b,f,b,b,Iris-setosa
a,e,b,b,Iris-setosa
c,f,a,b,Iris-setosa
b,e,b,b,Iris-setosa
b,f,b,b,Iris-setosa
