Sepal Length (cm),Sepal Width (cm),Petal Length (cm),Petal Width (cm),Class
b,a,c,c,Iris-versicolor
a,a,c,c,Iris-versicolor
c,a,c,c,Iris-versicolor
b,a,c,c,Iris-versicolor
c,a,c,c,Iris-versicolor
c,a,c,c,Iris-versicolor
d,a,c,c,Iris-versicolor
b,a,c,c,Iris-versicolor
c,a,c,c,Iris-versicolor
c,a,c,c,Iris-versicolor
d,b,c,c,Iris-versicolor
c,a,d,c,Iris-versicolor
d,a,c,c,Iris-versicolor
c,c,c,c,Iris-versicolor
d,b,d,c,Iris-versicolor
e,c,d,c,Iris-versicolor
e,a,d,c,Iris-versicolor
e,c,c,c,Iris-versicolor
c,b,d,c,Iris-versicolor
c,b,c,c,Iris-versicolor
d,c,c,c,Iris-versicolor
c,d,c,c,Iris-versicolor
c,b,c,c,Iris-versicolor
c,a,c,c,Iris-versicolor
d,b,c,c,Iris-versicolor
c,b,c,d,Iris-versicolor
c,a,c,d,Iris-versicolor
c,b,c,d,Iris-versicolor
f,e,d,d,Iris-versicolor
f,d,d,d,Iris-versicolor
e,c,d,d,Iris-versicolor
b,b,c,d,Iris-versicolor
d,c,d,d,Iris-versicolor
d,c,d,d,Iris-versicolor
f,b,d,d,Iris-versicolor
d,c,c,d,Iris-versicolor
d,a,d,d,Iris-versicolor
f,d,e,d,Iris-versicolor
e,d,d,d,Iris-versicolor
d,c,d,d,Iris-versicolor
e,b,d,d,Iris-versicolor
e,e,d,d,Iris-versicolor
d,a,d,d,Iris-versicolor
b,d,d,d,Iris-versicolor
c,d,d,d,Iris-versicolor
d,b,e,d,Iris-versicolor
d,e,d,d,Iris-versicolor
e,e,d,e,Iris-versicolor
f,c,e,e,Iris-versicolor
d,e,d,e,Iris-versicolor
