Sepal Length (cm),Sepal Width (cm),Petal Length (cm),Petal Width (cm),Class
d,a,f,d,Iris-virginica
d,a,e,d,Iris-virginica
e,b,e,d,Iris-virginica
f,d,f,e,Iris-virginica
a,a,d,e,Iris-virginica
f,c,f,e,Iris-virginica
f,d,f,e,Iris-virginica
e,c,f,e,Iris-virginica
e,c,e,e,Iris-virginica
e,d,e,e,Iris-virginica
d,c,e,e,Iris-virginica
e,a,f,e,Iris-virginica
d,c,e,e,Iris-virginica
d,c,d,e,Iris-virginica
e,b,e,e,Iris-virginica
d,b,d,e,Iris-virginica
d,b,e,e,Iris-virginica
f,b,f,e,Iris-virginica
d,b,e,e,Iris-virginica
e,b,e,e,Iris-virginica
e,a,e,e,Iris-virginica
f,b,f,e,Iris-virginica
c,b,e,e,Iris-virginica
c,a,e,e,Iris-virginica
f,f,f,e,Iris-virginica
e,c,e,f,Iris-virginica
e,e,e,f,Iris-virginica
f,c,e,f,Iris-virginica
e,b,f,f,Iris-virginica
f,d,f,f,Iris-virginica
f,e,f,f,Iris-virginica
f,d,f,f,Iris-virginica
f,d,e,f,Iris-virginica
e,b,f,f,Iris-virginica
e,c,f,f,Iris-virginica
f,f,f,f,Iris-virginica
f,c,f,f,Iris-virginica
d,e,e,f,Iris-virginica
f,e,f,f,Iris-virginica
e,e,e,f,Iris-virginica
f,c,e,f,Iris-virginica
f,d,e,f,Iris-virginica
f,d,f,f,Iris-virginica
f,a,f,f,Iris-virginica
e,d,f,f,Iris-virginica
e,e,f,f,Iris-virginica
d,b,e,f,Iris-virginica
f,e,f,f,Iris-virginica
e,e,f,f,Iris-virginica
f,f,f,f,Iris-virginica
