Sepal Length (cm),Sepal Width (cm),Petal Length (cm),Petal Width (cm),Class
a,f,a,a,Iris-setosa
a,e,b,a,Iris-setosa
a,a,b,a,Iris-setosa
a,d,a,a,Iris-setosa
a,a,b,a,Iris-setosa
b,a,b,a,Iris-setosa
a,b,a,a,Iris-setosa
b,c,a,a,Iris-setosa
b,e,a,a,Iris-setosa
a,c,b,a,Iris-setosa
c,a,b,a,Iris-setosa
b,d,b,a,Iris-setosa
a,d,b,a,Iris-setosa
a,f,b,a,Iris-setosa
a,d,b,a,Iris-setosa
b,e,b,a,Iris-setosa
b,b,b,a,Iris-setosa
b,b,b,a,Iris-setosa
a,e,b,a,Iris-setosa
b,f,a,a,Iris-setosa
b,c,a,a,Iris-setosa
b,b,b,a,Iris-setosa
a,c,a,a,Iris-setosa
a,d,a,a,Iris-setosa
a,d,a,a,Iris-setosa
c,c,a,b,Iris-setosa
a,e,a,b,Iris-setosa
b,e,a,b,Iris-setosa
a,a,a,b,Iris-setosa
c,e,a,b,Iris-setosa
c,d,a,b,Iris-setosa
a,a,a,b,Iris-setosa
a,b,a,b,Iris-setosa
b,c,a,b,Iris-setosa
b,b,b,b,Iris-setosa
a,e,a,b,Iris-setosa
a,e,a,b,Iris-setosa
a,d,a,b,Iris-setosa
a,a,a,b,Iris-setosa
c,d,b,b,Iris-setosa
b,a,a,b,Iris-setosa
b,d,b,b,Iris-setosa
b,c,b,b,Iris-setosa
b,c,b,b,Iris-setosa
c,d,b,b,Iris-setosa
b,b,b,b,Iris-setosa
a,b,b,b,Iris-setosa
c,e,a,b,Iris-setosa
b,a,b,b,Iris-setosa
b,b,b,b,Iris-setosa
