Sepal Length (cm),Sepal Width (cm),Petal Length (cm),Petal Width (cm),Class
b,b,c,c,Iris-versicolor
a,e,c,c,Iris-versicolor
c,f,c,c,Iris-versicolor
b,b,c,c,Iris-versicolor
c,a,c,c,Iris-versicolor
c,b,c,c,Iris-versicolor
d,d,c,c,Iris-versicolor
b,b,c,c,Iris-versicolor
c,f,c,c,Iris-versicolor
c,f,c,c,Iris-versicolor
d,e,c,c,Iris-versicolor
c,f,d,c,Iris-versicolor
d,f,c,c,Iris-versicolor
c,c,c,c,Iris-versicolor
d,a,d,c,Iris-versicolor
e,f,d,c,Iris-versicolor
e,f,d,c,Iris-versicolor
e,c,c,c,Iris-versicolor
c,d,d,c,Iris-versicolor
c,c,c,c,Iris-versicolor
d,b,c,c,Iris-versicolor
c,f,c,c,Iris-versicolor
c,b,c,c,Iris-versicolor
c,e,c,c,Iris-versicolor
d,e,c,c,Iris-versicolor
c,c,c,d,Iris-versicolor
c,c,c,d,Iris-versicolor
c,c,c,d,Iris-versicolor
f,a,d,d,Iris-versicolor
f,f,d,d,Iris-versicolor
e,a,d,d,Iris-versicolor
b,b,c,d,Iris-versicolor
d,f,d,d,Iris-versicolor
d,c,d,d,Iris-versicolor
f,a,d,d,Iris-versicolor
d,b,c,d,Iris-versicolor
d,c,d,d,Iris-versicolor
f,d,e,d,Iris-versicolor
e,d,d,d,Iris-versicolor
d,e,d,d,Iris-versicolor
e,e,d,d,Iris-versicolor
e,c,d,d,Iris-versicolor
d,a,d,d,Iris-versicolor
b,f,d,d,Iris-versicolor
c,f,d,d,Iris-versicolor
d,e,e,d,Iris-versicolor
d,c,d,d,Iris-versicolor
e,a,d,e,Iris-versicolor
f,e,e,e,Iris-versicolor
d,c,d,e,Iris-versicolor
