Sepal Length (cm),Sepal Width (cm),Petal Length (cm),Petal Width (cm),Class
d,e,f,d,Iris-virginica
d,b,e,d,Iris-virginica
e,c,e,d,Iris-virginica
f,f,f,e,Iris-virginica
a,a,d,e,Iris-virginica
f,c,f,e,Iris-virginica
f,d,f,e,Iris-virginica
e,d,f,e,Iris-virginica
e,a,e,e,Iris-virginica
e,b,e,e,Iris-virginica
d,b,e,e,Iris-virginica
e,a,f,e,Iris-virginica
d,c,e,e,Iris-virginica
d,d,d,e,Iris-virginica
e,a,e,e,Iris-virginica
d,d,d,e,Iris-virginica
d,b,e,e,Iris-virginica
f,c,f,e,Iris-virginica
d,b,e,e,Iris-virginica
e,f,e,e,Iris-virginica
e,c,e,e,Iris-virginica
f,e,f,e,Iris-virginica
c,e,e,e,Iris-virginica
c,a,e,e,Iris-virginica
f,b,f,e,Iris-virginica
e,f,e,f,Iris-virginica
e,f,e,f,Iris-virginica
f,a,e,f,Iris-virginica
e,c,f,f,Iris-virginica
f,f,f,f,Iris-virginica
f,d,f,f,Iris-virginica
f,e,f,f,Iris-virginica
f,a,e,f,Iris-virginica
e,d,f,f,Iris-virginica
e,e,f,f,Iris-virginica
f,e,f,f,Iris-virginica
f,b,f,f,Iris-virginica
d,d,e,f,Iris-virginica
f,e,f,f,Iris-virginica
e,f,e,f,Iris-virginica
f,b,e,f,Iris-virginica
f,a,e,f,Iris-virginica
f,d,f,f,Iris-virginica
f,f,f,f,Iris-virginica
e,d,f,f,Iris-virginica
e,f,f,f,Iris-virginica
d,f,e,f,Iris-virginica
f,f,f,f,Iris-virginica
e,a,f,f,Iris-virginica
f,d,f,f,Iris-virginica
