Refractive Index,Na,Mg,Al,Si,K,Ca,Ba,Fe,Class
h,f,e,f,c,e,f,a,a,2.0
e,g,j,c,g,g,b,f,a,1.0
c,g,h,g,d,i,b,f,a,2.0
b,d,h,g,f,h,b,f,a,2.0
b,d,f,g,g,h,c,g,a,2.0
d,e,g,g,f,f,b,g,a,2.0
c,f,g,d,f,j,b,g,a,2.0
d,f,g,h,d,j,b,g,a,2.0
d,c,h,h,g,h,b,g,a,2.0
g,f,j,d,f,e,c,g,a,2.0
e,e,h,d,h,f,b,g,a,1.0
b,f,e,c,e,g,c,g,a,3.0
g,d,j,c,d,h,d,g,a,2.0
b,e,e,f,i,h,a,g,a,2.0
b,d,h,g,h,j,a,g,a,2.0
e,h,h,f,e,e,a,g,a,1.0
d,f,f,c,f,e,d,g,a,1.0
b,g,g,g,g,d,a,g,a,1.0
a,e,f,f,i,d,b,f,a,2.0
a,j,c,g,j,b,a,g,a,6.0
b,c,f,j,e,j,b,f,a,2.0
d,c,g,h,i,i,b,f,b,2.0
j,i,j,a,a,b,i,e,b,1.0
f,a,f,f,i,f,e,e,b,1.0
e,c,g,c,g,i,e,e,b,1.0
d,d,e,i,e,i,c,e,b,2.0
a,b,f,i,f,j,b,e,b,2.0
b,f,h,g,e,d,c,e,b,2.0
f,e,i,e,d,f,c,e,b,1.0
b,d,h,g,i,j,a,e,b,2.0
d,a,d,h,i,j,e,e,b,2.0
e,f,h,b,h,g,c,e,b,1.0
a,e,d,f,h,d,c,f,b,2.0
g,j,a,i,f,j,a,j,b,7.0
b,c,e,f,h,d,c,f,b,2.0
g,f,j,e,c,e,c,f,b,2.0
c,g,g,f,d,i,a,f,b,2.0
h,i,h,f,b,f,c,f,b,1.0
c,b,d,g,i,i,c,f,b,2.0
g,f,j,c,d,g,c,f,b,2.0
a,i,d,j,c,j,a,h,b,2.0
a,d,a,j,a,j,a,h,b,5.0
f,d,f,d,f,h,e,h,c,1.0
a,j,a,j,h,b,h,j,c,7.0
d,j,b,j,j,a,g,j,c,7.0
b,j,a,j,j,a,f,j,c,7.0
i,h,h,e,a,c,f,j,c,1.0
b,h,c,i,h,a,f,j,c,7.0
b,i,a,j,d,b,h,j,c,7.0
a,h,d,i,f,j,a,j,c,7.0
c,j,b,i,i,a,f,j,c,7.0
e,j,b,i,g,b,f,j,c,7.0
c,j,a,i,j,b,e,j,c,7.0
d,j,b,i,h,a,d,j,c,7.0
g,i,d,j,a,j,a,j,c,7.0
i,i,a,j,j,a,d,j,c,7.0
d,i,a,j,j,a,f,j,c,7.0
j,j,c,e,a,d,f,j,c,7.0
c,j,b,i,h,a,c,j,c,7.0
a,i,c,j,a,j,a,j,c,5.0
a,j,a,j,j,b,d,j,c,7.0
a,j,b,j,j,b,d,i,c,7.0
c,i,a,j,f,a,h,i,c,7.0
b,j,a,j,h,b,g,i,d,7.0
e,a,h,e,j,g,e,h,d,1.0
a,d,b,j,a,j,a,h,d,5.0
j,e,i,c,e,e,e,h,d,2.0
c,a,f,e,f,f,e,h,d,3.0
a,j,b,a,j,a,a,h,d,6.0
b,f,g,e,e,f,d,h,d,3.0
g,c,f,e,g,h,d,h,d,1.0
d,g,e,i,d,i,b,h,d,2.0
h,j,c,i,d,a,i,e,d,6.0
d,c,f,e,h,f,d,h,d,1.0
e,b,g,d,i,g,d,h,d,1.0
d,b,f,g,j,i,a,i,d,2.0
b,d,g,g,h,j,a,i,d,2.0
c,f,g,h,f,h,a,i,d,2.0
d,h,i,i,b,i,a,i,d,2.0
g,e,j,e,d,g,d,i,d,2.0
h,h,g,e,b,e,g,i,d,1.0
g,c,d,f,g,h,g,i,d,2.0
f,e,f,f,d,g,d,h,d,1.0
h,h,c,c,e,a,i,e,d,6.0
e,e,h,b,i,f,c,f,e,1.0
j,h,j,a,a,c,i,d,e,1.0
f,b,e,e,g,i,f,b,e,1.0
d,c,h,e,d,h,g,a,e,3.0
i,a,c,h,f,d,j,c,e,5.0
f,g,e,g,b,g,g,b,e,3.0
f,b,f,b,h,i,g,b,e,1.0
i,e,a,i,h,d,j,c,e,5.0
e,b,i,d,g,h,e,b,e,1.0
h,j,b,a,j,a,j,c,e,6.0
i,h,c,f,c,d,j,c,e,2.0
g,h,a,a,j,b,j,c,e,2.0
h,i,a,j,e,a,j,c,e,6.0
a,f,e,c,e,f,e,b,e,1.0
j,h,d,c,a,b,j,c,e,2.0
c,d,e,d,g,e,e,b,e,3.0
i,a,c,h,j,g,j,c,e,5.0
c,c,b,i,j,j,j,c,e,5.0
d,a,c,h,f,j,h,c,e,2.0
j,i,j,b,a,c,h,c,e,1.0
e,b,e,c,i,g,f,c,e,1.0
h,g,i,b,d,c,f,c,f,1.0
e,b,g,e,h,h,e,b,f,1.0
f,b,g,e,g,f,f,c,f,1.0
j,j,c,j,a,j,i,e,f,7.0
f,e,e,e,e,g,e,b,f,1.0
i,g,j,b,b,b,f,b,f,1.0
e,b,h,d,f,g,f,b,f,1.0
f,b,i,c,h,h,f,b,f,1.0
f,g,i,b,e,c,f,b,f,3.0
j,a,b,a,h,a,j,b,f,2.0
d,c,h,d,e,f,f,b,f,2.0
g,j,c,h,c,b,h,c,f,6.0
j,h,d,a,a,c,j,c,f,2.0
h,a,b,h,j,d,j,c,f,5.0
i,h,h,b,b,c,h,d,f,1.0
j,g,d,d,d,h,g,a,f,7.0
h,h,i,c,c,b,g,a,f,1.0
h,g,d,c,b,g,g,a,f,1.0
i,i,j,a,b,c,i,d,f,3.0
f,g,i,a,g,b,g,a,f,3.0
j,i,j,a,a,c,i,d,f,1.0
h,i,c,h,c,a,i,d,g,6.0
j,i,j,a,b,c,i,d,g,1.0
c,a,b,c,j,j,g,a,g,7.0
g,f,d,g,c,f,g,a,g,3.0
h,j,j,a,b,b,h,a,g,1.0
i,i,j,a,a,b,i,d,g,3.0
j,g,a,h,c,d,j,c,g,5.0
h,i,c,h,e,a,h,d,g,6.0
j,e,j,a,b,c,i,d,g,1.0
c,f,e,d,d,e,f,b,g,3.0
e,b,f,c,i,f,e,d,g,1.0
