Refractive Index,Na,Mg,Al,Si,K,Ca,Ba,Fe,Class
h,f,h,f,c,e,f,a,a,2.0
e,g,e,c,g,g,b,f,a,1.0
c,g,b,g,d,i,b,f,a,2.0
b,d,h,g,f,h,b,f,a,2.0
b,d,j,g,g,h,c,g,a,2.0
d,e,a,g,f,f,b,g,a,2.0
c,f,f,d,f,j,b,g,a,2.0
d,f,i,h,d,j,b,g,a,2.0
d,c,j,h,g,h,b,g,a,2.0
g,f,a,d,f,e,c,g,a,2.0
e,e,g,d,h,f,b,g,a,1.0
b,f,h,c,e,g,c,g,a,3.0
g,d,c,c,d,h,d,g,a,2.0
b,e,i,f,i,h,a,g,a,2.0
b,d,j,g,h,j,a,g,a,2.0
e,h,j,f,e,e,a,g,a,1.0
d,f,j,c,f,e,d,g,a,1.0
b,g,h,g,g,d,a,g,a,1.0
a,e,g,f,i,d,b,f,a,2.0
a,j,j,g,j,b,a,g,a,6.0
b,c,c,j,e,j,b,f,a,2.0
d,c,f,h,i,i,b,f,b,2.0
j,i,d,a,a,b,i,e,b,1.0
f,a,j,f,i,f,e,e,b,1.0
e,c,d,c,g,i,e,e,b,1.0
d,d,f,i,e,i,c,e,b,2.0
a,b,c,i,f,j,b,e,b,2.0
b,f,f,g,e,d,c,e,b,2.0
f,e,e,e,d,f,c,e,b,1.0
b,d,f,g,i,j,a,e,b,2.0
d,a,d,h,i,j,e,e,b,2.0
e,f,j,b,h,g,c,e,b,1.0
a,e,f,f,h,d,c,f,b,2.0
g,j,f,i,f,j,a,j,b,7.0
b,c,e,f,h,d,c,f,b,2.0
g,f,i,e,c,e,c,f,b,2.0
c,g,i,f,d,i,a,f,b,2.0
h,i,g,f,b,f,c,f,b,1.0
c,b,e,g,i,i,c,f,b,2.0
g,f,j,c,d,g,c,f,b,2.0
a,i,j,j,c,j,a,h,b,2.0
a,d,b,j,a,j,a,h,b,5.0
f,d,e,d,f,h,e,h,c,1.0
a,j,c,j,h,b,h,j,c,7.0
d,j,g,j,j,a,g,j,c,7.0
b,j,f,j,j,a,f,j,c,7.0
i,h,b,e,a,c,f,j,c,1.0
b,h,e,i,h,a,f,j,c,7.0
b,i,c,j,d,b,h,j,c,7.0
a,h,h,i,f,j,a,j,c,7.0
c,j,e,i,i,a,f,j,c,7.0
e,j,c,i,g,b,f,j,c,7.0
c,j,h,i,j,b,e,j,c,7.0
d,j,a,i,h,a,d,j,c,7.0
g,i,b,j,a,j,a,j,c,7.0
i,i,e,j,j,a,d,j,c,7.0
d,i,d,j,j,a,f,j,c,7.0
j,j,g,e,a,d,f,j,c,7.0
c,j,f,i,h,a,c,j,c,7.0
a,i,j,j,a,j,a,j,c,5.0
a,j,a,j,j,b,d,j,c,7.0
a,j,g,j,j,b,d,i,c,7.0
c,i,c,j,f,a,h,i,c,7.0
b,j,h,j,h,b,g,i,d,7.0
e,a,j,e,j,g,e,h,d,1.0
a,d,h,j,a,j,a,h,d,5.0
j,e,b,c,e,e,e,h,d,2.0
c,a,d,e,f,f,e,h,d,3.0
a,j,j,a,j,a,a,h,d,6.0
b,f,j,e,e,f,d,h,d,3.0
g,c,a,e,g,h,d,h,d,1.0
d,g,b,i,d,i,b,h,d,2.0
h,j,j,i,d,a,i,e,d,6.0
d,c,e,e,h,f,d,h,d,1.0
e,b,b,d,i,g,d,h,d,1.0
d,b,i,g,j,i,a,i,d,2.0
b,d,j,g,h,j,a,i,d,2.0
c,f,e,h,f,h,a,i,d,2.0
d,h,g,i,b,i,a,i,d,2.0
g,e,b,e,d,g,d,i,d,2.0
h,h,i,e,b,e,g,i,d,1.0
g,c,a,f,g,h,g,i,d,2.0
f,e,c,f,d,g,d,h,d,1.0
h,h,f,c,e,a,i,e,d,6.0
e,e,h,b,i,f,c,f,e,1.0
j,h,g,a,a,c,i,d,e,1.0
f,b,h,e,g,i,f,b,e,1.0
d,c,c,e,d,h,g,a,e,3.0
i,a,d,h,f,d,j,c,e,5.0
f,g,d,g,b,g,g,b,e,3.0
f,b,c,b,h,i,g,b,e,1.0
i,e,h,i,h,d,j,c,e,5.0
e,b,b,d,g,h,e,b,e,1.0
h,j,f,a,j,a,j,c,e,6.0
i,h,a,f,c,d,j,c,e,2.0
g,h,h,a,j,b,j,c,e,2.0
h,i,g,j,e,a,j,c,e,6.0
a,f,i,c,e,f,e,b,e,1.0
j,h,g,c,a,b,j,c,e,2.0
c,d,j,d,g,e,e,b,e,3.0
i,a,i,h,j,g,j,c,e,5.0
c,c,b,i,j,j,j,c,e,5.0
d,a,b,h,f,j,h,c,e,2.0
j,i,a,b,a,c,h,c,e,1.0
e,b,h,c,i,g,f,c,e,1.0
h,g,b,b,d,c,f,c,f,1.0
e,b,d,e,h,h,e,b,f,1.0
f,b,h,e,g,f,f,c,f,1.0
j,j,d,j,a,j,i,e,f,7.0
f,e,a,e,e,g,e,b,f,1.0
i,g,d,b,b,b,f,b,f,1.0
e,b,a,d,f,g,f,b,f,1.0
f,b,i,c,h,h,f,b,f,1.0
f,g,d,b,e,c,f,b,f,3.0
j,a,b,a,h,a,j,b,f,2.0
d,c,g,d,e,f,f,b,f,2.0
g,j,c,h,c,b,h,c,f,6.0
j,h,c,a,a,c,j,c,f,2.0
h,a,c,h,j,d,j,c,f,5.0
i,h,i,b,b,c,h,d,f,1.0
j,g,f,d,d,h,g,a,f,7.0
h,h,a,c,c,b,g,a,f,1.0
h,g,a,c,b,g,g,a,f,1.0
i,i,d,a,b,c,i,d,f,3.0
f,g,i,a,g,b,g,a,f,3.0
j,i,e,a,a,c,i,d,f,1.0
h,i,e,h,c,a,i,d,g,6.0
j,i,c,a,b,c,i,d,g,1.0
c,a,f,c,j,j,g,a,g,7.0
g,f,a,g,c,f,g,a,g,3.0
h,j,g,a,b,b,h,a,g,1.0
i,i,g,a,a,b,i,d,g,3.0
j,g,e,h,c,d,j,c,g,5.0
h,i,b,h,e,a,h,d,g,6.0
j,e,g,a,b,c,i,d,g,1.0
c,f,h,d,d,e,f,b,g,3.0
e,b,j,c,i,f,e,d,g,1.0
h,g,g,e,b,e,h,a,g,1.0
i,f,i,f,c,d,j,d,g,5.0
j,a,c,a,i,a,j,d,g,2.0
g,e,j,d,f,e,h,a,g,1.0
g,f,h,c,f,e,h,a,g,1.0
h,b,i,i,e,h,j,d,g,5.0
j,a,e,a,b,b,j,d,g,2.0
a,h,e,j,i,c,h,j,g,7.0
j,f,b,a,b,c,j,c,g,1.0
a,i,d,j,j,c,h,j,g,7.0
e,a,a,f,j,h,e,b,h,1.0
e,d,e,h,e,e,d,h,h,1.0
i,g,h,b,b,c,i,d,h,1.0
d,j,c,i,j,a,e,j,h,7.0
d,j,b,j,h,a,e,j,h,7.0
j,j,e,b,e,c,j,d,h,2.0
f,e,h,e,g,e,h,a,h,1.0
c,a,i,i,i,i,b,g,h,2.0
b,j,j,j,i,a,f,j,h,7.0
f,g,g,h,b,g,g,a,h,3.0
b,i,f,j,j,b,h,i,h,7.0
b,d,j,g,f,j,b,f,h,2.0
d,e,g,f,e,f,d,h,h,3.0
g,e,a,f,c,e,c,f,h,2.0
j,h,d,f,a,d,j,d,h,2.0
c,f,d,g,d,i,b,g,h,2.0
j,i,d,a,a,b,i,e,h,1.0
h,e,b,d,c,h,h,b,h,1.0
i,g,b,b,b,d,i,d,h,1.0
e,d,d,e,g,f,d,i,h,1.0
e,f,e,c,f,f,c,f,h,1.0
a,j,a,i,b,c,a,g,i,2.0
h,c,j,g,d,g,e,b,i,2.0
f,d,i,b,h,f,d,h,i,2.0
f,a,a,e,h,h,f,b,i,1.0
h,g,c,d,d,g,c,e,i,2.0
b,h,d,d,f,d,a,f,i,2.0
g,d,g,b,c,i,h,a,i,2.0
f,h,d,g,b,e,c,e,i,2.0
h,e,f,c,e,g,g,a,i,1.0
i,d,c,b,c,d,i,e,i,1.0
j,h,f,a,a,c,i,d,i,1.0
i,d,c,b,c,d,i,e,i,1.0
i,g,a,h,c,e,i,i,i,2.0
g,e,g,b,f,g,d,i,i,2.0
i,d,c,b,c,d,i,e,i,1.0
e,c,i,d,i,e,d,i,i,1.0
i,h,h,f,b,e,i,e,i,2.0
c,d,e,i,d,h,d,h,i,3.0
i,h,a,h,a,d,j,c,i,2.0
a,d,j,h,i,b,d,i,i,2.0
e,b,i,g,e,e,e,h,i,1.0
g,a,i,a,j,d,h,d,j,2.0
c,c,i,h,g,i,b,f,j,2.0
c,b,d,f,i,f,g,i,j,2.0
f,c,b,d,g,h,e,i,j,1.0
g,c,f,b,c,i,g,a,j,2.0
c,c,h,d,g,g,g,a,j,2.0
j,a,b,b,a,c,j,e,j,2.0
e,a,c,c,j,i,g,a,j,2.0
a,c,g,f,i,j,b,f,j,1.0
h,g,a,a,e,c,g,i,j,3.0
a,b,f,h,i,j,b,g,j,1.0
f,a,j,d,j,f,h,a,j,1.0
c,b,f,f,h,j,c,i,j,2.0
b,b,e,h,g,i,b,g,j,1.0
i,c,i,g,j,c,j,c,j,5.0
f,e,i,e,c,f,e,h,j,2.0
j,a,f,j,a,g,j,j,j,2.0
d,f,a,g,d,i,b,f,j,2.0
f,b,b,c,g,i,g,b,j,1.0
a,c,g,b,g,i,d,h,j,1.0
g,g,j,d,b,e,c,g,j,2.0
j,a,d,i,c,j,j,d,j,2.0
g,c,f,d,d,h,f,b,j,2.0
j,i,e,b,a,d,h,a,j,3.0
i,b,h,j,c,j,i,i,j,5.0
