Sepal Length (cm),Sepal Width (cm),Petal Length (cm),Petal Width (cm),Class
a,c,a,a,Iris-setosa
a,d,b,a,Iris-setosa
a,d,b,a,Iris-setosa
a,c,a,a,Iris-setosa
a,d,b,a,Iris-setosa
b,f,b,a,Iris-setosa
a,f,a,a,Iris-setosa
b,e,a,a,Iris-setosa
b,f,a,a,Iris-setosa
a,d,b,a,Iris-setosa
c,f,b,a,Iris-setosa
b,f,b,a,Iris-setosa
a,d,b,a,Iris-setosa
a,e,b,a,Iris-setosa
a,e,b,a,Iris-setosa
b,f,b,a,Iris-setosa
b,d,b,a,Iris-setosa
b,e,b,a,Iris-setosa
a,f,b,a,Iris-setosa
b,f,a,a,Iris-setosa
b,f,a,a,Iris-setosa
b,e,b,a,Iris-setosa
a,b,a,a,Iris-setosa
a,c,a,a,Iris-setosa
a,d,a,a,Iris-setosa
c,f,a,b,Iris-setosa
a,d,a,b,Iris-setosa
b,e,a,b,Iris-setosa
a,e,a,b,Iris-setosa
c,f,a,b,Iris-setosa
c,f,a,b,Iris-setosa
a,d,a,b,Iris-setosa
a,c,a,b,Iris-setosa
b,e,a,b,Iris-setosa
b,f,b,b,Iris-setosa
a,d,a,b,Iris-setosa
a,a,a,b,Iris-setosa
a,f,a,b,Iris-setosa
a,e,a,b,Iris-setosa
c,f,b,b,Iris-setosa
b,f,a,b,Iris-setosa
b,f,b,b,Iris-setosa
b,f,b,b,Iris-setosa
b,e,b,b,Iris-setosa
c,f,b,b,Iris-setosa
b,f,b,b,Iris-setosa
a,e,b,b,Iris-setosa
c,f,a,b,Iris-setosa
b,e,b,b,Iris-setosa
b,f,b,b,Iris-setosa
b,a,c,c,Iris-versicolor
a,a,c,c,Iris-versicolor
c,a,c,c,Iris-versicolor
b,a,c,c,Iris-versicolor
c,a,c,c,Iris-versicolor
c,a,c,c,Iris-versicolor
d,a,c,c,Iris-versicolor
b,a,c,c,Iris-versicolor
c,a,c,c,Iris-versicolor
c,a,c,c,Iris-versicolor
d,b,c,c,Iris-versicolor
c,a,d,c,Iris-versicolor
d,a,c,c,Iris-versicolor
c,c,c,c,Iris-versicolor
d,b,d,c,Iris-versicolor
e,c,d,c,Iris-versicolor
e,a,d,c,Iris-versicolor
e,c,c,c,Iris-versicolor
c,b,d,c,Iris-versicolor
c,b,c,c,Iris-versicolor
d,c,c,c,Iris-versicolor
c,d,c,c,Iris-versicolor
c,b,c,c,Iris-versicolor
c,a,c,c,Iris-versicolor
d,b,c,c,Iris-versicolor
c,b,c,d,Iris-versicolor
c,a,c,d,Iris-versicolor
c,b,c,d,Iris-versicolor
f,e,d,d,Iris-versicolor
d,a,f,d,Iris-virginica
f,d,d,d,Iris-versicolor
e,c,d,d,Iris-versicolor
b,b,c,d,Iris-versicolor
d,c,d,d,Iris-versicolor
d,c,d,d,Iris-versicolor
f,b,d,d,Iris-versicolor
d,c,c,d,Iris-versicolor
d,a,d,d,Iris-versicolor
f,d,e,d,Iris-versicolor
e,d,d,d,Iris-versicolor
d,a,e,d,Iris-virginica
e,b,e,d,Iris-virginica
d,c,d,d,Iris-versicolor
e,b,d,d,Iris-versicolor
e,e,d,d,Iris-versicolor
d,a,d,d,Iris-versicolor
b,d,d,d,Iris-versicolor
c,d,d,d,Iris-versicolor
d,b,e,d,Iris-versicolor
d,e,d,d,Iris-versicolor
f,d,f,e,Iris-virginica
e,e,d,e,Iris-versicolor
f,c,e,e,Iris-versicolor
a,a,d,e,Iris-virginica
f,c,f,e,Iris-virginica
f,d,f,e,Iris-virginica
e,c,f,e,Iris-virginica
e,c,e,e,Iris-virginica
e,d,e,e,Iris-virginica
d,c,e,e,Iris-virginica
e,a,f,e,Iris-virginica
d,c,e,e,Iris-virginica
d,c,d,e,Iris-virginica
e,b,e,e,Iris-virginica
d,e,d,e,Iris-versicolor
d,b,d,e,Iris-virginica
d,b,e,e,Iris-virginica
f,b,f,e,Iris-virginica
d,b,e,e,Iris-virginica
e,b,e,e,Iris-virginica
e,a,e,e,Iris-virginica
f,b,f,e,Iris-virginica
c,b,e,e,Iris-virginica
c,a,e,e,Iris-virginica
f,f,f,e,Iris-virginica
e,c,e,f,Iris-virginica
e,e,e,f,Iris-virginica
f,c,e,f,Iris-virginica
e,b,f,f,Iris-virginica
f,d,f,f,Iris-virginica
f,e,f,f,Iris-virginica
f,d,f,f,Iris-virginica
f,d,e,f,Iris-virginica
e,b,f,f,Iris-virginica
e,c,f,f,Iris-virginica
f,f,f,f,Iris-virginica
f,c,f,f,Iris-virginica
d,e,e,f,Iris-virginica
f,e,f,f,Iris-virginica
e,e,e,f,Iris-virginica
f,c,e,f,Iris-virginica
f,d,e,f,Iris-virginica
f,d,f,f,Iris-virginica
f,a,f,f,Iris-virginica
e,d,f,f,Iris-virginica
e,e,f,f,Iris-virginica
d,b,e,f,Iris-virginica
f,e,f,f,Iris-virginica
e,e,f,f,Iris-virginica
f,f,f,f,Iris-virginica
