Sepal Length (cm),Sepal Width (cm),Petal Length (cm),Petal Width (cm),Class
a,f,a,a,Iris-setosa
a,e,b,a,Iris-setosa
a,a,b,a,Iris-setosa
a,d,a,a,Iris-setosa
a,a,b,a,Iris-setosa
b,a,b,a,Iris-setosa
a,b,a,a,Iris-setosa
b,c,a,a,Iris-setosa
b,e,a,a,Iris-setosa
a,c,b,a,Iris-setosa
c,a,b,a,Iris-setosa
b,d,b,a,Iris-setosa
a,d,b,a,Iris-setosa
a,f,b,a,Iris-setosa
a,d,b,a,Iris-setosa
b,e,b,a,Iris-setosa
b,b,b,a,Iris-setosa
b,b,b,a,Iris-setosa
a,e,b,a,Iris-setosa
b,f,a,a,Iris-setosa
b,c,a,a,Iris-setosa
b,b,b,a,Iris-setosa
a,c,a,a,Iris-setosa
a,d,a,a,Iris-setosa
a,d,a,a,Iris-setosa
c,c,a,b,Iris-setosa
a,e,a,b,Iris-setosa
b,e,a,b,Iris-setosa
a,a,a,b,Iris-setosa
c,e,a,b,Iris-setosa
c,d,a,b,Iris-setosa
a,a,a,b,Iris-setosa
a,b,a,b,Iris-setosa
b,c,a,b,Iris-setosa
b,b,b,b,Iris-setosa
a,e,a,b,Iris-setosa
a,e,a,b,Iris-setosa
a,d,a,b,Iris-setosa
a,a,a,b,Iris-setosa
c,d,b,b,Iris-setosa
b,a,a,b,Iris-setosa
b,d,b,b,Iris-setosa
b,c,b,b,Iris-setosa
b,c,b,b,Iris-setosa
c,d,b,b,Iris-setosa
b,b,b,b,Iris-setosa
a,b,b,b,Iris-setosa
c,e,a,b,Iris-setosa
b,a,b,b,Iris-setosa
b,b,b,b,Iris-setosa
b,b,c,c,Iris-versicolor
a,e,c,c,Iris-versicolor
c,f,c,c,Iris-versicolor
b,b,c,c,Iris-versicolor
c,a,c,c,Iris-versicolor
c,b,c,c,Iris-versicolor
d,d,c,c,Iris-versicolor
b,b,c,c,Iris-versicolor
c,f,c,c,Iris-versicolor
c,f,c,c,Iris-versicolor
d,e,c,c,Iris-versicolor
c,f,d,c,Iris-versicolor
d,f,c,c,Iris-versicolor
c,c,c,c,Iris-versicolor
d,a,d,c,Iris-versicolor
e,f,d,c,Iris-versicolor
e,f,d,c,Iris-versicolor
e,c,c,c,Iris-versicolor
c,d,d,c,Iris-versicolor
c,c,c,c,Iris-versicolor
d,b,c,c,Iris-versicolor
c,f,c,c,Iris-versicolor
c,b,c,c,Iris-versicolor
c,e,c,c,Iris-versicolor
d,e,c,c,Iris-versicolor
c,c,c,d,Iris-versicolor
c,c,c,d,Iris-versicolor
c,c,c,d,Iris-versicolor
f,a,d,d,Iris-versicolor
d,e,f,d,Iris-virginica
f,f,d,d,Iris-versicolor
e,a,d,d,Iris-versicolor
b,b,c,d,Iris-versicolor
d,f,d,d,Iris-versicolor
d,c,d,d,Iris-versicolor
f,a,d,d,Iris-versicolor
d,b,c,d,Iris-versicolor
d,c,d,d,Iris-versicolor
f,d,e,d,Iris-versicolor
e,d,d,d,Iris-versicolor
d,b,e,d,Iris-virginica
e,c,e,d,Iris-virginica
d,e,d,d,Iris-versicolor
e,e,d,d,Iris-versicolor
e,c,d,d,Iris-versicolor
d,a,d,d,Iris-versicolor
b,f,d,d,Iris-versicolor
c,f,d,d,Iris-versicolor
d,e,e,d,Iris-versicolor
d,c,d,d,Iris-versicolor
f,f,f,e,Iris-virginica
e,a,d,e,Iris-versicolor
f,e,e,e,Iris-versicolor
a,a,d,e,Iris-virginica
f,c,f,e,Iris-virginica
f,d,f,e,Iris-virginica
e,d,f,e,Iris-virginica
e,a,e,e,Iris-virginica
e,b,e,e,Iris-virginica
d,b,e,e,Iris-virginica
e,a,f,e,Iris-virginica
d,c,e,e,Iris-virginica
d,d,d,e,Iris-virginica
e,a,e,e,Iris-virginica
d,c,d,e,Iris-versicolor
d,d,d,e,Iris-virginica
d,b,e,e,Iris-virginica
f,c,f,e,Iris-virginica
d,b,e,e,Iris-virginica
e,f,e,e,Iris-virginica
e,c,e,e,Iris-virginica
f,e,f,e,Iris-virginica
c,e,e,e,Iris-virginica
c,a,e,e,Iris-virginica
f,b,f,e,Iris-virginica
e,f,e,f,Iris-virginica
e,f,e,f,Iris-virginica
f,a,e,f,Iris-virginica
e,c,f,f,Iris-virginica
f,f,f,f,Iris-virginica
f,d,f,f,Iris-virginica
f,e,f,f,Iris-virginica
f,a,e,f,Iris-virginica
e,d,f,f,Iris-virginica
e,e,f,f,Iris-virginica
f,e,f,f,Iris-virginica
f,b,f,f,Iris-virginica
d,d,e,f,Iris-virginica
f,e,f,f,Iris-virginica
e,f,e,f,Iris-virginica
f,b,e,f,Iris-virginica
f,a,e,f,Iris-virginica
f,d,f,f,Iris-virginica
f,f,f,f,Iris-virginica
e,d,f,f,Iris-virginica
e,f,f,f,Iris-virginica
d,f,e,f,Iris-virginica
f,f,f,f,Iris-virginica
e,a,f,f,Iris-virginica
f,d,f,f,Iris-virginica
